ID,Unvocalized,Vocalized,Root,Triliteral,Madhi,Mudhori,Amar
123,بغت,بَغَتَ,بغت,1,بَغَتَ,يَبْغِتُ,اِبْغِتْ
124,بخل,بَخِلَ,بخل,1,بَخِلَ,يَبْخِلُ,اِبْخِلْ
125,محل,مَحَلَ,محل,1,مَحَلَ,يَمْحِلُ,اِمْحِلْ
126,عكس,عَكَسَ,عكس,1,عَكَسَ,يَعْكِسُ,اِعْكِسْ
127,ردف,رَدِفَ,ردف,1,رَدِفَ,يَرْدِفُ,اِرْدِفْ
128,قصف,قَصَفَ,قصف,1,قَصَفَ,يَقْصِفُ,اِقْصِفْ
129,خطر,خَطَرَ,خطر,1,خَطَرَ,يَخْطِرُ,اِخْطِرْ
130,جنح,جَنَحَ,جنح,1,جَنَحَ,يَجْنِحُ,اِجْنِحْ
131,تبع,تَبِعَ,تبع,1,تَبِعَ,يَتْبِعُ,اِتْبِعْ
132,شنج,شَنِجَ,شنج,1,شَنِجَ,يَشْنِجُ,اِشْنِجْ
133,حسف,حَسِفَ,حسف,1,حَسِفَ,يَحْسِفُ,اِحْسِفْ
134,عتب,عَتَبَ,عتب,1,عَتَبَ,يَعْتِبُ,اِعْتِبْ
135,بحث,بَحَثَ,بحث,1,بَحَثَ,يَبْحِثُ,اِبْحِثْ
136,عشق,عَشِقَ,عشق,1,عَشِقَ,يَعْشِقُ,اِعْشِقْ
137,نعب,نَعَبَ,نعب,1,نَعَبَ,يَنْعِبُ,اِنْعِبْ
138,صرد,صَرِدَ,صرد,1,صَرِدَ,يَصْرِدُ,اِصْرِدْ
139,خزق,خَزَقَ,خزق,1,خَزَقَ,يَخْزِقُ,اِخْزِقْ
140,زلع,زَلَعَ,زلع,1,زَلَعَ,يَزْلِعُ,اِزْلِعْ
141,شنع,شَنَعَ,شنع,1,شَنَعَ,يَشْنِعُ,اِشْنِعْ
142,شنع,شَنِعَ,شنع,1,شَنِعَ,يَشْنِعُ,اِشْنِعْ
143,ربع,رَبَعَ,ربع,1,رَبَعَ,يَرْبِعُ,اِرْبِعْ
144,نصع,نَصَعَ,نصع,1,نَصَعَ,يَنْصِعُ,اِنْصِعْ
145,عتق,عَتَقَ,عتق,1,عَتَقَ,يَعْتِقُ,اِعْتِقْ
146,صرف,صَرَفَ,صرف,1,صَرَفَ,يَصْرِفُ,اِصْرِفْ
147,هزج,هَزِجَ,هزج,1,هَزِجَ,يَهْزِجُ,اِهْزِجْ
148,نتن,نَتَنَ,نتن,1,نَتَنَ,يَنْتِنُ,اِنْتِنْ
149,صعق,صَعَقَ,صعق,1,صَعَقَ,يَصْعِقُ,اِصْعِقْ
150,صعق,صَعِقَ,صعق,1,صَعِقَ,يَصْعِقُ,اِصْعِقْ
151,حدر,حَدِرَ,حدر,1,حَدِرَ,يَحْدِرُ,اِحْدِرْ
