ID,Unvocalized,Vocalized,Root,Triliteral,Madhi,Mudhori,Amar
1206,قبل,قَبِلَ,قبل,1,قَبِلَ,يَقْبِلُ,اِقْبِلْ
1207,عقل,عَقِلَ,عقل,1,عَقِلَ,يَعْقِلُ,اِعْقِلْ
1208,قلد,قَلَدَ,قلد,1,قَلَدَ,يَقْلِدُ,اِقْلِدْ
1209,عجل,عَجِلَ,عجل,1,عَجِلَ,يَعْجِلُ,اِعْجِلْ
1210,عرض,عَرَضَ,عرض,1,عَرَضَ,يَعْرِضُ,اِعْرِضْ
1211,خصب,خَصِبَ,خصب,1,خَصِبَ,يَخْصِبُ,اِخْصِبْ
1212,عزم,عَزَمَ,عزم,1,عَزَمَ,يَعْزِمُ,اِعْزِمْ
1213,نهج,نَهَجَ,نهج,1,نَهَجَ,يَنْهِجُ,اِنْهِجْ
1214,قطم,قَطَمَ,قطم,1,قَطَمَ,يَقْطِمُ,اِقْطِمْ
1215,طمح,طَمَحَ,طمح,1,طَمَحَ,يَطْمِحُ,اِطْمِحْ
1216,نغب,نَغَبَ,نغب,1,نَغَبَ,يَنْغِبُ,اِنْغِبْ
1217,شلح,شَلَحَ,شلح,1,شَلَحَ,يَشْلِحُ,اِشْلِحْ
1218,عصف,عَصَفَ,عصف,1,عَصَفَ,يَعْصِفُ,اِعْصِفْ
1219,ظلم,ظَلَمَ,ظلم,1,ظَلَمَ,يَظْلِمُ,اِظْلِمْ
1220,عرب,عَرَبَ,عرب,1,عَرَبَ,يَعْرِبُ,اِعْرِبْ
1221,شخر,شَخَرَ,شخر,1,شَخَرَ,يَشْخِرُ,اِشْخِرْ
1222,قمن,قَمِنَ,قمن,1,قَمِنَ,يَقْمِنُ,اِقْمِنْ
1223,عدن,عَدَنَ,عدن,1,عَدَنَ,يَعْدِنُ,اِعْدِنْ
1224,صور,صَوِرَ,صور,1,صَوِرَ,يَصْوِرُ,اِصْوِرْ
1225,عصم,عَصِمَ,عصم,1,عَصِمَ,يَعْصِمُ,اِعْصِمْ
1226,شغل,شَغَلَ,شغل,1,شَغَلَ,يَشْغِلُ,اِشْغِلْ
1227,عفس,عَفَسَ,عفس,1,عَفَسَ,يَعْفِسُ,اِعْفِسْ
1228,طنف,طَنِفَ,طنف,1,طَنِفَ,يَطْنِفُ,اِطْنِفْ
1229,قسر,قَسَرَ,قسر,1,قَسَرَ,يَقْسِرُ,اِقْسِرْ
1230,ملح,مَلَحَ,ملح,1,مَلَحَ,يَمْلِحُ,اِمْلِحْ
1231,هبر,هَبِرَ,هبر,1,هَبِرَ,يَهْبِرُ,اِهْبِرْ
1232,عفر,عَفَرَ,عفر,1,عَفَرَ,يَعْفِرُ,اِعْفِرْ
1233,عفر,عَفِرَ,عفر,1,عَفِرَ,يَعْفِرُ,اِعْفِرْ
1234,سجس,سَجِسَ,سجس,1,سَجِسَ,يَسْجِسُ,اِسْجِسْ
1235,قعر,قَعَرَ,قعر,1,قَعَرَ,يَقْعِرُ,اِقْعِرْ
1236,عقب,عَقَبَ,عقب,1,عَقَبَ,يَعْقِبُ,اِعْقِبْ
1237,عقر,عَقَرَ,عقر,1,عَقَرَ,يَعْقِرُ,اِعْقِرْ
1238,غنم,غَنِمَ,غنم,1,غَنِمَ,يَغْنِمُ,اِغْنِمْ
1239,سلم,سَلَمَ,سلم,1,سَلَمَ,يَسْلِمُ,اِسْلِمْ
1240,قطب,قَطَبَ,قطب,1,قَطَبَ,يَقْطِبُ,اِقْطِبْ
1241,بكم,بَكَمَ,بكم,1,بَكَمَ,يَبْكِمُ,اِبْكِمْ
1242,جذب,جَذَبَ,جذب,1,جَذَبَ,يَجْذِبُ,اِجْذِبْ
1243,قطب,قَطَبَ,قطب,1,قَطَبَ,يَقْطِبُ,اِقْطِبْ
1244,تعب,تَعِبَ,تعب,1,تَعِبَ,يَتْعِبُ,اِتْعِبْ
1245,عصف,عَصَفَ,عصف,1,عَصَفَ,يَعْصِفُ,اِعْصِفْ
1246,عطب,عَطِبَ,عطب,1,عَطِبَ,يَعْطِبُ,اِعْطِبْ
1247,علف,عَلَفَ,علف,1,عَلَفَ,يَعْلِفُ,اِعْلِفْ
1248,عقم,عَقِمَ,عقم,1,عَقِمَ,يَعْقِمُ,اِعْقِمْ
1249,عكر,عَكِرَ,عكر,1,عَكِرَ,يَعْكِرُ,اِعْكِرْ
1250,نغر,نَغَرَ,نغر,1,نَغَرَ,يَنْغِرُ,اِنْغِرْ
1251,غطف,غَطِفَ,غطف,1,غَطِفَ,يَغْطِفُ,اِغْطِفْ
1252,غفر,غَفَرَ,غفر,1,غَفَرَ,يَغْفِرُ,اِغْفِرْ
1253,غضر,غَضِرَ,غضر,1,غَضِرَ,يَغْضِرُ,اِغْضِرْ
1254,عمر,عَمِرَ,عمر,1,عَمِرَ,يَعْمِرُ,اِعْمِرْ
1255,جرم,جَرَمَ,جرم,1,جَرَمَ,يَجْرِمُ,اِجْرِمْ
1256,غطش,غَطِشَ,غطش,1,غَطِشَ,يَغْطِشُ,اِغْطِشْ
1257,حلق,حَلَقَ,حلق,1,حَلَقَ,يَحْلِقُ,اِحْلِقْ
1258,غلظ,غَلَظَ,غلظ,1,غَلَظَ,يَغْلِظُ,اِغْلِظْ
1259,جزم,جَزَمَ,جزم,1,جَزَمَ,يَجْزِمُ,اِجْزِمْ
1260,مرع,مَرَعَ,مرع,1,مَرَعَ,يَمْرِعُ,اِمْرِعْ
1261,جزع,جَزَعَ,جزع,1,جَزَعَ,يَجْزِعُ,اِجْزِعْ
1262,لمع,لَمَعَ,لمع,1,لَمَعَ,يَلْمِعُ,اِلْمِعْ
1263,نفط,نَفَطَ,نفط,1,نَفَطَ,يَنْفِطُ,اِنْفِطْ
1264,دكن,دَكِنَ,دكن,1,دَكِنَ,يَدْكِنُ,اِدْكِنْ
1265,لكع,لَكِعَ,لكع,1,لَكِعَ,يَلْكِعُ,اِلْكِعْ
1266,علق,عَلِقَ,علق,1,عَلِقَ,يَعْلِقُ,اِعْلِقْ
1267,خشف,خَشَفَ,خشف,1,خَشَفَ,يَخْشِفُ,اِخْشِفْ
1268,لمح,لَمَحَ,لمح,1,لَمَحَ,يَلْمِحُ,اِلْمِحْ
1269,عمد,عَمَدَ,عمد,1,عَمَدَ,يَعْمِدُ,اِعْمِدْ
1270,لهث,لَهَثَ,لهث,1,لَهَثَ,يَلْهِثُ,اِلْهِثْ
1271,هزل,هَزَلَ,هزل,1,هَزَلَ,يَهْزِلُ,اِهْزِلْ
1272,عمه,عَمَهَ,عمه,1,عَمَهَ,يَعْمِهُ,اِعْمِهْ
1273,علن,عَلَنَ,علن,1,عَلَنَ,يَعْلِنُ,اِعْلِنْ
1274,عمر,عَمَرَ,عمر,1,عَمَرَ,يَعْمِرُ,اِعْمِرْ
1275,عمش,عَمِشَ,عمش,1,عَمِشَ,يَعْمِشُ,اِعْمِشْ
1276,غرف,غَرَفَ,غرف,1,غَرَفَ,يَغْرِفُ,اِغْرِفْ
1277,غرم,غَرِمَ,غرم,1,غَرِمَ,يَغْرِمُ,اِغْرِمْ
1278,غزل,غَزَلَ,غزل,1,غَزَلَ,يَغْزِلُ,اِغْزِلْ
1279,غزل,غَزِلَ,غزل,1,غَزِلَ,يَغْزِلُ,اِغْزِلْ
1280,بغم,بَغَمَ,بغم,1,بَغَمَ,يَبْغِمُ,اِبْغِمْ
1281,هطل,هَطَلَ,هطل,1,هَطَلَ,يَهْطِلُ,اِهْطِلْ
1282,ضغن,ضَغِنَ,ضغن,1,ضَغِنَ,يَضْغِنُ,اِضْغِنْ
1283,خطف,خَطَفَ,خطف,1,خَطَفَ,يَخْطِفُ,اِخْطِفْ
1284,حرم,حَرِمَ,حرم,1,حَرِمَ,يَحْرِمُ,اِحْرِمْ
1285,سفر,سَفَرَ,سفر,1,سَفَرَ,يَسْفِرُ,اِسْفِرْ
1286,عسر,عَسِرَ,عسر,1,عَسِرَ,يَعْسِرُ,اِعْسِرْ
1287,عسل,عَسَلَ,عسل,1,عَسَلَ,يَعْسِلُ,اِعْسِلْ
1288,فكر,فَكَرَ,فكر,1,فَكَرَ,يَفْكِرُ,اِفْكِرْ
1289,غدق,غَدِقَ,غدق,1,غَدِقَ,يَغْدِقُ,اِغْدِقْ
1290,قعر,قَعَرَ,قعر,1,قَعَرَ,يَقْعِرُ,اِقْعِرْ
1291,حرق,حَرِقَ,حرق,1,حَرِقَ,يَحْرِقُ,اِحْرِقْ
1292,غفر,غَفِرَ,غفر,1,غَفِرَ,يَغْفِرُ,اِغْفِرْ
1293,غطش,غَطَشَ,غطش,1,غَطَشَ,يَغْطِشُ,اِغْطِشْ
1294,غفق,غَفَقَ,غفق,1,غَفَقَ,يَغْفِقُ,اِغْفِقْ
1295,نجد,نَجِدَ,نجد,1,نَجِدَ,يَنْجِدُ,اِنْجِدْ
1296,نعل,نَعِلَ,نعل,1,نَعِلَ,يَنْعِلُ,اِنْعِلْ
1297,غرض,غَرِضَ,غرض,1,غَرِضَ,يَغْرِضُ,اِغْرِضْ
1298,رفل,رَفِلَ,رفل,1,رَفِلَ,يَرْفِلُ,اِرْفِلْ
1299,غرض,غَرَضَ,غرض,1,غَرَضَ,يَغْرِضُ,اِغْرِضْ
1300,نزع,نَزَعَ,نزع,1,نَزَعَ,يَنْزِعُ,اِنْزِعْ
1301,قحم,قَحَمَ,قحم,1,قَحَمَ,يَقْحِمُ,اِقْحِمْ
1302,نزف,نَزَفَ,نزف,1,نَزَفَ,يَنْزِفُ,اِنْزِفْ
1303,نزل,نَزِلَ,نزل,1,نَزِلَ,يَنْزِلُ,اِنْزِلْ
1304,نزع,نَزَعَ,نزع,1,نَزَعَ,يَنْزِعُ,اِنْزِعْ
1305,ضمن,ضَمِنَ,ضمن,1,ضَمِنَ,يَضْمِنُ,اِضْمِنْ
1306,نفر,نَفَرَ,نفر,1,نَفَرَ,يَنْفِرُ,اِنْفِرْ
1307,نزل,نَزَلَ,نزل,1,نَزَلَ,يَنْزِلُ,اِنْزِلْ
1308,دعث,دَعَثَ,دعث,1,دَعَثَ,يَدْعِثُ,اِدْعِثْ
1309,خضع,خَضَعَ,خضع,1,خَضَعَ,يَخْضِعُ,اِخْضِعْ
1310,رفق,رَفِقَ,رفق,1,رَفِقَ,يَرْفِقُ,اِرْفِقْ
1311,نزه,نَزِهَ,نزه,1,نَزِهَ,يَنْزِهُ,اِنْزِهْ
1312,نزق,نَزَقَ,نزق,1,نَزَقَ,يَنْزِقُ,اِنْزِقْ
1313,نخع,نَخَعَ,نخع,1,نَخَعَ,يَنْخِعُ,اِنْخِعْ
1314,عبق,عَبِقَ,عبق,1,عَبِقَ,يَعْبِقُ,اِعْبِقْ
1315,ملس,مَلِسَ,ملس,1,مَلِسَ,يَمْلِسُ,اِمْلِسْ
1316,صفر,صَفَرَ,صفر,1,صَفَرَ,يَصْفِرُ,اِصْفِرْ
1317,معن,مَعِنَ,معن,1,مَعِنَ,يَمْعِنُ,اِمْعِنْ
1318,شحذ,شَحَذَ,شحذ,1,شَحَذَ,يَشْحِذُ,اِشْحِذْ
1319,سلط,سَلِطَ,سلط,1,سَلِطَ,يَسْلِطُ,اِسْلِطْ
1320,ملص,مَلِصَ,ملص,1,مَلِصَ,يَمْلِصُ,اِمْلِصْ
1321,قشر,قَشِرَ,قشر,1,قَشِرَ,يَقْشِرُ,اِقْشِرْ
1322,برع,بَرَعَ,برع,1,بَرَعَ,يَبْرِعُ,اِبْرِعْ
1323,مهد,مَهَدَ,مهد,1,مَهَدَ,يَمْهِدُ,اِمْهِدْ
1324,رفع,رَفَعَ,رفع,1,رَفَعَ,يَرْفِعُ,اِرْفِعْ
1325,صبح,صَبَحَ,صبح,1,صَبَحَ,يَصْبِحُ,اِصْبِحْ
1326,قنع,قَنَعَ,قنع,1,قَنَعَ,يَقْنِعُ,اِقْنِعْ
1327,هرش,هَرَشَ,هرش,1,هَرَشَ,يَهْرِشُ,اِهْرِشْ
1328,هرع,هَرَعَ,هرع,1,هَرَعَ,يَهْرِعُ,اِهْرِعْ
1329,نحل,نَحَلَ,نحل,1,نَحَلَ,يَنْحِلُ,اِنْحِلْ
1330,نحم,نَحَمَ,نحم,1,نَحَمَ,يَنْحِمُ,اِنْحِمْ
1331,عهر,عَهِرَ,عهر,1,عَهِرَ,يَعْهِرُ,اِعْهِرْ
1332,هزر,هَزَرَ,هزر,1,هَزَرَ,يَهْزِرُ,اِهْزِرْ
1333,هدن,هَدَنَ,هدن,1,هَدَنَ,يَهْدِنُ,اِهْدِنْ
1334,نقر,نَقِرَ,نقر,1,نَقِرَ,يَنْقِرُ,اِنْقِرْ
1335,شهر,شَهَرَ,شهر,1,شَهَرَ,يَشْهِرُ,اِشْهِرْ
1336,هرس,هَرَسَ,هرس,1,هَرَسَ,يَهْرِسُ,اِهْرِسْ
1337,هرف,هَرَفَ,هرف,1,هَرَفَ,يَهْرِفُ,اِهْرِفْ
1338,حدق,حَدَقَ,حدق,1,حَدَقَ,يَحْدِقُ,اِحْدِقْ
1339,عوج,عَوِجَ,عوج,1,عَوِجَ,يَعْوِجُ,اِعْوِجْ
1340,نجز,نَجِزَ,نجز,1,نَجِزَ,يَنْجِزُ,اِنْجِزْ
1341,شرس,شَرِسَ,شرس,1,شَرِسَ,يَشْرِسُ,اِشْرِسْ
1342,نحر,نَحَرَ,نحر,1,نَحَرَ,يَنْحِرُ,اِنْحِرْ
1343,شعل,شَعِلَ,شعل,1,شَعِلَ,يَشْعِلُ,اِشْعِلْ
1344,نزل,نَزَلَ,نزل,1,نَزَلَ,يَنْزِلُ,اِنْزِلْ
1345,روع,رَوِعَ,روع,1,رَوِعَ,يَرْوِعُ,اِرْوِعْ
1346,بهظ,بَهَظَ,بهظ,1,بَهَظَ,يَبْهِظُ,اِبْهِظْ
1347,نخم,نَخِمَ,نخم,1,نَخِمَ,يَنْخِمُ,اِنْخِمْ
1348,سوس,سَوِسَ,سوس,1,سَوِسَ,يَسْوِسُ,اِسْوِسْ
1349,كبد,كَبِدَ,كبد,1,كَبِدَ,يَكْبِدُ,اِكْبِدْ
1350,فلح,فَلَحَ,فلح,1,فَلَحَ,يَفْلِحُ,اِفْلِحْ
1351,نده,نَدَهَ,نده,1,نَدَهَ,يَنْدِهُ,اِنْدِهْ
1352,هصر,هَصَرَ,هصر,1,هَصَرَ,يَهْصِرُ,اِهْصِرْ
1353,شعب,شَعِبَ,شعب,1,شَعِبَ,يَشْعِبُ,اِشْعِبْ
1354,فطن,فَطِنَ,فطن,1,فَطِنَ,يَفْطِنُ,اِفْطِنْ
1355,هلك,هَلَكَ,هلك,1,هَلَكَ,يَهْلِكُ,اِهْلِكْ
1356,كره,كَرِهَ,كره,1,كَرِهَ,يَكْرِهُ,اِكْرِهْ
1357,متح,مَتَحَ,متح,1,مَتَحَ,يَمْتِحُ,اِمْتِحْ
1358,نطع,نَطَعَ,نطع,1,نَطَعَ,يَنْطِعُ,اِنْطِعْ
1359,همل,هَمَلَ,همل,1,هَمَلَ,يَهْمِلُ,اِهْمِلْ
1360,ميل,مَيِلَ,ميل,1,مَيِلَ,يَمْيِلُ,اِمْيِلْ
1361,خطم,خَطَمَ,خطم,1,خَطَمَ,يَخْطِمُ,اِخْطِمْ
1362,صرح,صَرَحَ,صرح,1,صَرَحَ,يَصْرِحُ,اِصْرِحْ
1363,نعت,نَعَتَ,نعت,1,نَعَتَ,يَنْعِتُ,اِنْعِتْ
1364,نشق,نَشِقَ,نشق,1,نَشِقَ,يَنْشِقُ,اِنْشِقْ
1365,سرق,سَرَقَ,سرق,1,سَرَقَ,يَسْرِقُ,اِسْرِقْ
1366,نغر,نَغِرَ,نغر,1,نَغِرَ,يَنْغِرُ,اِنْغِرْ
1367,ظهر,ظَهَرَ,ظهر,1,ظَهَرَ,يَظْهِرُ,اِظْهِرْ
1368,سبق,سَبَقَ,سبق,1,سَبَقَ,يَسْبِقُ,اِسْبِقْ
1369,خدع,خَدَعَ,خدع,1,خَدَعَ,يَخْدِعُ,اِخْدِعْ
1370,نشط,نَشِطَ,نشط,1,نَشِطَ,يَنْشِطُ,اِنْشِطْ
1371,فلت,فَلَتَ,فلت,1,فَلَتَ,يَفْلِتُ,اِفْلِتْ
1372,نفد,نَفِدَ,نفد,1,نَفِدَ,يَنْفِدُ,اِنْفِدْ
1373,كسب,كَسَبَ,كسب,1,كَسَبَ,يَكْسِبُ,اِكْسِبْ
1374,جسد,جَسِدَ,جسد,1,جَسِدَ,يَجْسِدُ,اِجْسِدْ
1375,طعن,طَعَنَ,طعن,1,طَعَنَ,يَطْعِنُ,اِطْعِنْ
1376,خثر,خَثِرَ,خثر,1,خَثِرَ,يَخْثِرُ,اِخْثِرْ
1377,لبس,لَبِسَ,لبس,1,لَبِسَ,يَلْبِسُ,اِلْبِسْ
1378,لسن,لَسَنَ,لسن,1,لَسَنَ,يَلْسِنُ,اِلْسِنْ
1379,ندل,نَدِلَ,ندل,1,نَدِلَ,يَنْدِلُ,اِنْدِلْ
1380,نبح,نَبَحَ,نبح,1,نَبَحَ,يَنْبِحُ,اِنْبِحْ
1381,نبس,نَبَسَ,نبس,1,نَبَسَ,يَنْبِسُ,اِنْبِسْ
1382,سهر,سَهِرَ,سهر,1,سَهِرَ,يَسْهِرُ,اِسْهِرْ
1383,شهل,شَهِلَ,شهل,1,شَهِلَ,يَشْهِلُ,اِشْهِلْ
1384,مكس,مَكَسَ,مكس,1,مَكَسَ,يَمْكِسُ,اِمْكِسْ
1385,ذرب,ذَرِبَ,ذرب,1,ذَرِبَ,يَذْرِبُ,اِذْرِبْ
1386,شده,شَدَهَ,شده,1,شَدَهَ,يَشْدِهُ,اِشْدِهْ
1387,حلس,حَلِسَ,حلس,1,حَلِسَ,يَحْلِسُ,اِحْلِسْ
1388,نتح,نَتَحَ,نتح,1,نَتَحَ,يَنْتِحُ,اِنْتِحْ
1389,ضمخ,ضَمَخَ,ضمخ,1,ضَمَخَ,يَضْمِخُ,اِضْمِخْ
1390,كسر,كَسَرَ,كسر,1,كَسَرَ,يَكْسِرُ,اِكْسِرْ
1391,نكه,نَكِهَ,نكه,1,نَكِهَ,يَنْكِهُ,اِنْكِهْ
1392,سخن,سَخِنَ,سخن,1,سَخِنَ,يَسْخِنُ,اِسْخِنْ
1393,جرز,جَرِزَ,جرز,1,جَرِزَ,يَجْرِزُ,اِجْرِزْ
1394,قحف,قَحَفَ,قحف,1,قَحَفَ,يَقْحِفُ,اِقْحِفْ
1395,مغص,مَغِصَ,مغص,1,مَغِصَ,يَمْغِصُ,اِمْغِصْ
1396,نبر,نَبَرَ,نبر,1,نَبَرَ,يَنْبِرُ,اِنْبِرْ
1397,كنف,كَنَفَ,كنف,1,كَنَفَ,يَكْنِفُ,اِكْنِفْ
1398,كرم,كَرَمَ,كرم,1,كَرَمَ,يَكْرِمُ,اِكْرِمْ
1399,هزل,هَزِلَ,هزل,1,هَزِلَ,يَهْزِلُ,اِهْزِلْ
1400,نهج,نَهِجَ,نهج,1,نَهِجَ,يَنْهِجُ,اِنْهِجْ
1401,نبذ,نَبَذَ,نبذ,1,نَبَذَ,يَنْبِذُ,اِنْبِذْ
1402,دغل,دَغَلَ,دغل,1,دَغَلَ,يَدْغِلُ,اِدْغِلْ
1403,نقع,نَقَعَ,نقع,1,نَقَعَ,يَنْقِعُ,اِنْقِعْ
1404,نقه,نَقِهَ,نقه,1,نَقِهَ,يَنْقِهُ,اِنْقِهْ
1405,نطق,نَطَقَ,نطق,1,نَطَقَ,يَنْطِقُ,اِنْطِقْ
1406,غضب,غَضِبَ,غضب,1,غَضِبَ,يَغْضِبُ,اِغْضِبْ
1407,يقظ,يَقِظَ,يقظ,1,يَقِظَ,يَيْقِظُ,اِيقِظْ
1408,عرس,عَرِسَ,عرس,1,عَرِسَ,يَعْرِسُ,اِعْرِسْ
1409,حصف,حَصَفَ,حصف,1,حَصَفَ,يَحْصِفُ,اِحْصِفْ
1410,زرف,زَرَفَ,زرف,1,زَرَفَ,يَزْرِفُ,اِزْرِفْ
1411,هرس,هَرِسَ,هرس,1,هَرِسَ,يَهْرِسُ,اِهْرِسْ
1412,فحم,فَحَمَ,فحم,1,فَحَمَ,يَفْحِمُ,اِفْحِمْ
1413,ملق,مَلِقَ,ملق,1,مَلِقَ,يَمْلِقُ,اِمْلِقْ
1414,نكل,نَكِلَ,نكل,1,نَكِلَ,يَنْكِلُ,اِنْكِلْ
1415,هبش,هَبَشَ,هبش,1,هَبَشَ,يَهْبِشُ,اِهْبِشْ
1416,شحن,شَحِنَ,شحن,1,شَحِنَ,يَشْحِنُ,اِشْحِنْ
1417,قهر,قَهَرَ,قهر,1,قَهَرَ,يَقْهِرُ,اِقْهِرْ
1418,سرط,سَرِطَ,سرط,1,سَرِطَ,يَسْرِطُ,اِسْرِطْ
1419,نمش,نَمِشَ,نمش,1,نَمِشَ,يَنْمِشُ,اِنْمِشْ
1420,بدع,بَدَعَ,بدع,1,بَدَعَ,يَبْدِعُ,اِبْدِعْ
1421,شهد,شَهِدَ,شهد,1,شَهِدَ,يَشْهِدُ,اِشْهِدْ
1422,نحف,نَحِفَ,نحف,1,نَحِفَ,يَنْحِفُ,اِنْحِفْ
1423,نقد,نَقِدَ,نقد,1,نَقِدَ,يَنْقِدُ,اِنْقِدْ
1424,دنس,دَنِسَ,دنس,1,دَنِسَ,يَدْنِسُ,اِدْنِسْ
1425,نهب,نَهَبَ,نهب,1,نَهَبَ,يَنْهِبُ,اِنْهِبْ
1426,نفر,نَفَرَ,نفر,1,نَفَرَ,يَنْفِرُ,اِنْفِرْ
1427,دمع,دَمَعَ,دمع,1,دَمَعَ,يَدْمِعُ,اِدْمِعْ
1428,ركب,رَكِبَ,ركب,1,رَكِبَ,يَرْكِبُ,اِرْكِبْ
1429,فرض,فَرَضَ,فرض,1,فَرَضَ,يَفْرِضُ,اِفْرِضْ
1430,هجس,هَجَسَ,هجس,1,هَجَسَ,يَهْجِسُ,اِهْجِسْ
1431,حقد,حَقَدَ,حقد,1,حَقَدَ,يَحْقِدُ,اِحْقِدْ
1432,نهز,نَهَزَ,نهز,1,نَهَزَ,يَنْهِزُ,اِنْهِزْ
1433,نهق,نَهَقَ,نهق,1,نَهَقَ,يَنْهِقُ,اِنْهِقْ
1434,نهم,نَهَمَ,نهم,1,نَهَمَ,يَنْهِمُ,اِنْهِمْ
1435,رهن,رَهَنَ,رهن,1,رَهَنَ,يَرْهِنُ,اِرْهِنْ
1436,نهد,نَهَدَ,نهد,1,نَهَدَ,يَنْهِدُ,اِنْهِدْ
1437,نهد,نَهَدَ,نهد,1,نَهَدَ,يَنْهِدُ,اِنْهِدْ
1438,زجل,زَجِلَ,زجل,1,زَجِلَ,يَزْجِلُ,اِزْجِلْ
1439,هتر,هَتَرَ,هتر,1,هَتَرَ,يَهْتِرُ,اِهْتِرْ
1440,فتح,فَتَحَ,فتح,1,فَتَحَ,يَفْتِحُ,اِفْتِحْ
1441,هبل,هَبِلَ,هبل,1,هَبِلَ,يَهْبِلُ,اِهْبِلْ
1442,جهد,جَهِدَ,جهد,1,جَهِدَ,يَجْهِدُ,اِجْهِدْ
1443,هتف,هَتَفَ,هتف,1,هَتَفَ,يَهْتِفُ,اِهْتِفْ
1444,عذر,عَذَرَ,عذر,1,عَذَرَ,يَعْذِرُ,اِعْذِرْ
1445,خلط,خَلَطَ,خلط,1,خَلَطَ,يَخْلِطُ,اِخْلِطْ
1446,كبد,كَبَدَ,كبد,1,كَبَدَ,يَكْبِدُ,اِكْبِدْ
1447,سقم,سَقِمَ,سقم,1,سَقِمَ,يَسْقِمُ,اِسْقِمْ
1448,عجز,عَجَزَ,عجز,1,عَجَزَ,يَعْجِزُ,اِعْجِزْ
1449,هتك,هَتَكَ,هتك,1,هَتَكَ,يَهْتِكُ,اِهْتِكْ
1450,عوص,عَوِصَ,عوص,1,عَوِصَ,يَعْوِصُ,اِعْوِصْ
1451,هجع,هَجَعَ,هجع,1,هَجَعَ,يَهْجِعُ,اِهْجِعْ
1452,هرب,هَرِبَ,هرب,1,هَرِبَ,يَهْرِبُ,اِهْرِبْ
1453,منع,مَنَعَ,منع,1,مَنَعَ,يَمْنِعُ,اِمْنِعْ
1454,هوش,هَوِشَ,هوش,1,هَوِشَ,يَهْوِشُ,اِهْوِشْ
1455,طلح,طَلَحَ,طلح,1,طَلَحَ,يَطْلِحُ,اِطْلِحْ
1456,هرج,هَرَجَ,هرج,1,هَرَجَ,يَهْرِجُ,اِهْرِجْ
1457,لجن,لَجِنَ,لجن,1,لَجِنَ,يَلْجِنُ,اِلْجِنْ
1458,قذر,قَذِرَ,قذر,1,قَذِرَ,يَقْذِرُ,اِقْذِرْ
1459,قرع,قَرَعَ,قرع,1,قَرَعَ,يَقْرِعُ,اِقْرِعْ
1460,يسر,يَسَرَ,يسر,1,يَسَرَ,يَيْسِرُ,اِيسِرْ
1461,نقذ,نَقِذَ,نقذ,1,نَقِذَ,يَنْقِذُ,اِنْقِذْ
1462,وعك,وَعَكَ,وعك,1,وَعَكَ,يَعِكُ,عِكْ
1463,لقح,لَقَحَ,لقح,1,لَقَحَ,يَلْقِحُ,اِلْقِحْ
1464,هوج,هَوِجَ,هوج,1,هَوِجَ,يَهْوِجُ,اِهْوِجْ
1465,همع,هَمَعَ,همع,1,هَمَعَ,يَهْمِعُ,اِهْمِعْ
1466,بهت,بَهِتَ,بهت,1,بَهِتَ,يَبْهِتُ,اِبْهِتْ
1467,شحط,شَحَطَ,شحط,1,شَحَطَ,يَشْحِطُ,اِشْحِطْ
1468,هدل,هَدَلَ,هدل,1,هَدَلَ,يَهْدِلُ,اِهْدِلْ
1469,هرق,هَرَقَ,هرق,1,هَرَقَ,يَهْرِقُ,اِهْرِقْ
1470,هرم,هَرِمَ,هرم,1,هَرِمَ,يَهْرِمُ,اِهْرِمْ
1471,حقر,حَقَرَ,حقر,1,حَقَرَ,يَحْقِرُ,اِحْقِرْ
1472,هدج,هَدَجَ,هدج,1,هَدَجَ,يَهْدِجُ,اِهْدِجْ
1473,جرح,جَرِحَ,جرح,1,جَرِحَ,يَجْرِحُ,اِجْرِحْ
1474,هرب,هَرَبَ,هرب,1,هَرَبَ,يَهْرِبُ,اِهْرِبْ
1475,لسع,لَسَعَ,لسع,1,لَسَعَ,يَلْسِعُ,اِلْسِعْ
1476,هدب,هَدِبَ,هدب,1,هَدِبَ,يَهْدِبُ,اِهْدِبْ
1477,رغب,رَغِبَ,رغب,1,رَغِبَ,يَرْغِبُ,اِرْغِبْ
1478,هفت,هَفَتَ,هفت,1,هَفَتَ,يَهْفِتُ,اِهْفِتْ
1479,نزه,نَزَهَ,نزه,1,نَزَهَ,يَنْزِهُ,اِنْزِهْ
1480,همر,هَمَرَ,همر,1,هَمَرَ,يَهْمِرُ,اِهْمِرْ
1481,رجع,رَجَعَ,رجع,1,رَجَعَ,يَرْجِعُ,اِرْجِعْ
1482,حبض,حَبِضَ,حبض,1,حَبِضَ,يَحْبِضُ,اِحْبِضْ
1483,نبض,نَبَضَ,نبض,1,نَبَضَ,يَنْبِضُ,اِنْبِضْ
1484,نكر,نَكِرَ,نكر,1,نَكِرَ,يَنْكِرُ,اِنْكِرْ
1485,خدل,خَدِلَ,خدل,1,خَدِلَ,يَخْدِلُ,اِخْدِلْ
1486,مرغ,مَرِغَ,مر غ,1,مَرِغَ,يَمْرِغُ,اِمْرِغْ
1487,رفع,رَفَعَ,رفع,1,رَفَعَ,يَرْفِعُ,اِرْفِعْ
1488,نمر,نَمِرَ,نمر,1,نَمِرَ,يَنْمِرُ,اِنْمِرْ
1489,زلع,زَلِعَ,زلع,1,زَلِعَ,يَزْلِعُ,اِزْلِعْ
